match_id,team_id,player_id,minute,half,x,y,distance,angle,is_header,is_right_foot,is_left_foot,is_other_body,shot_type_Open_Play,shot_type_Free_Kick,shot_type_Penalty,shot_type_Corner,shot_type_Throw_In,shot_type_Set_Piece,first_time,one_on_one,deflected,redirected,under_pressure,n_defenders,n_attackers,gk_distance,big_chance,dist_bin,angle_bin,xg_target,is_goal,outcome,play_pattern,technique
3754117,1,3528.0,65,2,103.2,36.2,17.22,0.4096,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,9,6,3.82,0,3,1,0.0443,0,Blocked,From Free Kick,Normal
3754117,59,3436.0,70,2,95.2,30.9,26.42,0.2593,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,10,6,3.05,0,5,1,0.0222,0,Off T,From Corner,Half Volley
3754117,59,6800.0,77,2,92.9,34.9,27.58,0.2596,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,10,4,1.9,0,5,1,0.038,0,Off T,Regular Play,Normal
3754117,59,6800.0,80,2,104.8,57.9,23.48,0.2039,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,9,3,2.28,0,4,0,0.0295,0,Blocked,Regular Play,Normal
3754117,1,3525.0,81,2,106.6,49.3,16.31,0.3703,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,8,3,1.3,0,3,1,0.063,0,Saved,Regular Play,Normal
3754117,59,11333.0,90,2,107.6,54.3,18.93,0.2574,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,7,3,2.14,0,3,1,0.0841,0,Off T,Regular Play,Normal
3754117,1,3517.0,91,2,114.6,24.1,16.79,0.1461,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,5,1,3.64,0,3,0,0.0143,0,Off T,From Goal Kick,Normal
3754117,1,3511.0,92,2,105.8,44.6,14.93,0.4607,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,8,1,4.49,0,2,1,0.1003,0,Saved,From Throw In,Diving Header
3754296,36,3064.0,6,1,98.8,50.3,23.57,0.2788,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,9,6,4.04,0,4,1,0.041,0,Off T,From Goal Kick,Normal
3754296,36,3054.0,9,1,94.7,24.8,29.51,0.2126,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,11,6,4.78,0,5,0,0.0209,0,Off T,From Free Kick,Normal
3754296,36,3064.0,12,1,108.2,30.2,15.34,0.3712,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,10,6,2.02,0,3,1,0.0593,0,Blocked,Regular Play,Normal
3754296,36,3089.0,18,1,107.2,60.5,24.17,0.1627,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,11,5,3.52,0,4,0,0.0084,0,Blocked,From Corner,Normal
3754296,36,3089.0,22,1,101.1,56.7,25.22,0.2186,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,9,4,1.22,0,5,0,0.0278,0,Saved,Regular Play,Normal
3754296,36,3089.0,31,1,108.7,53.2,17.38,0.2792,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,5,3,3.08,0,3,1,0.1334,0,Off T,Regular Play,Normal
3754296,1,3668.0,32,1,100.9,25.3,24.1,0.2416,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,8,5,3.01,0,4,0,0.0349,1,Goal,From Throw In,Normal
3754296,36,3087.0,38,1,111.4,46.8,10.96,0.5326,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,11,5,0.82,0,2,2,0.0443,0,Wayward,From Corner,Normal
3754296,1,3604.0,45,1,111.7,26.5,15.85,0.2502,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,6,2,2.11,0,3,1,0.1036,1,Goal,From Counter,Normal
3754296,36,5596.0,51,2,91.8,25.4,31.76,0.2046,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,9,7,4.39,0,6,0,0.0128,0,Blocked,From Throw In,Half Volley
3754296,36,3237.0,51,2,103.2,37.1,17.05,0.4175,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,9,3,0.92,0,3,1,0.1319,0,Saved,Regular Play,Normal
3754296,1,5581.0,52,2,111.8,37.5,8.57,0.7848,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,8,4,2.33,0,1,3,0.2141,0,Off T,From Free Kick,Normal
3754296,36,3237.0,54,2,106.3,35.9,14.3,0.4833,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,11,6,1.2,0,2,1,0.0341,0,Saved,From Free Kick,Normal
3754296,1,5581.0,55,2,112.6,53.3,15.22,0.2433,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,5,0,0.76,0,3,0,0.0717,0,Saved,From Keeper,Normal
3754296,1,3517.0,59,2,111.4,36.2,9.4,0.6983,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,5,5,2.55,1,1,2,0.4959,0,Saved,Regular Play,Normal
3754296,36,3598.0,66,2,109.1,39.9,10.9,0.6479,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,10,5,0.72,0,2,2,0.0771,0,Wayward,Regular Play,Normal
3754296,36,5596.0,67,2,93.7,18.7,33.84,0.1685,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,9,4,5.37,0,6,0,0.0069,0,Blocked,Regular Play,Normal
3754296,1,3517.0,68,2,102.8,36.1,17.64,0.4002,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,7,4,1.14,0,3,1,0.0911,0,Off T,Regular Play,Normal
