match_id,statsbomb_xg,pred_xg,goals,shots
3879681,3.5563,3.633067613595522,1.0,37
3879688,2.1736,2.7048748841022054,0.0,31
3879689,3.2785,3.177970610741734,3.0,21
3879696,2.5985,2.870942673790392,2.0,21
3879698,2.4233,2.149273982072168,4.0,26
3879702,2.6329,2.7078823549322064,1.0,27
3879705,1.9685,2.616638792202581,2.0,30
3879719,2.5648,2.0513281347333554,4.0,23
3879720,1.6775,2.039413087428302,2.0,19
3879721,2.4785,2.8499482328387638,2.0,29
3879734,2.8849,3.1627677174214996,2.0,32
3879750,3.6006,3.1693451764987635,5.0,28
3879752,4.1777999999999995,4.381789623811258,3.0,35
3879755,1.3599,1.5383357051856483,0.0,27
3879758,1.8081,2.3129349241771107,1.0,30
3879763,1.9665000000000001,2.501782605079259,2.0,40
3879764,1.7732,2.392775443961915,1.0,27
3879776,1.504,1.9331012463155088,0.0,23
3879781,1.3973,2.388937718259711,0.0,29
3879787,1.6354,1.6884998913879297,2.0,24
3879788,1.2589000000000001,1.695708185272185,0.0,25
3879793,1.9817,2.7216526349645975,2.0,21
3879798,2.3432,2.4332344578455096,1.0,30
3879803,3.3428,3.8259413673210654,4.0,24
3879811,3.5648,3.0279139551034033,3.0,27
3879815,1.3829,1.4522821778849762,3.0,21
3879816,1.6725,1.883617715976217,2.0,23
3879817,1.7882,1.7983349709440664,2.0,22
3879818,1.6528,1.994106455326125,1.0,14
3879819,3.4284,3.7100611292840937,5.0,31
3879822,1.7209,1.698427318624811,0.0,21
3879835,2.4507,2.9527515356670615,6.0,31
3879844,2.1028000000000002,2.6492314237356185,1.0,26
3879860,1.8778,1.797364448835459,0.0,25
3879866,2.1916,2.4444803391510352,3.0,34
3879870,2.8615,3.040726535065297,5.0,31
3879871,2.7119999999999997,2.8261756103964637,3.0,25
3879873,1.9798,2.280808929020562,3.0,30
3879874,3.0453,3.3722257276992598,6.0,32
3881489,3.2903,3.0597371268957034,5.0,28
3881491,2.4965,2.527644786375555,4.0,23
3881495,4.4377,4.394002884339638,2.0,35
3881496,2.9625,2.405831762447941,3.0,26
3881500,2.3502,1.856518383812548,1.0,26
3881509,3.102,2.7219727058572927,5.0,29
3881511,4.0549,4.198803658221477,2.0,34
3881512,4.1524,3.4792580184011457,2.0,25
3881514,1.6848,1.7038819537459988,2.0,19
3881516,3.8575,3.687225230280784,5.0,28
3881520,3.1896999999999998,2.646287913871888,2.0,27
3881527,2.1254,2.0790260818098187,3.0,23
3881531,1.5498,1.953052224640241,2.0,24
3881538,3.3704,2.8822851944941603,2.0,34
3881550,2.3872,2.890267278963426,2.0,32
3881559,1.9168,1.881305116855252,3.0,23
3881563,2.9461,2.834922864774666,1.0,30
3881575,2.0108,1.9961053296941733,2.0,29
3881581,2.2842,2.6991659756780417,0.0,29
3881603,1.3256000000000001,1.4663538175626352,1.0,16
3881604,3.4608,3.052369341401074,4.0,25
3881610,4.3481,5.101113551475092,1.0,33
3881611,1.9134,2.1015054426422246,3.0,21
3881614,2.385,2.23454560508148,2.0,33
3900501,1.9906,1.6548158072009744,5.0,22
3900502,4.7181999999999995,4.490011246598133,5.0,43
3900503,1.8883,1.648405586567047,2.0,20
3900506,2.0345,2.0604816793146608,3.0,26
3900508,2.6697,2.47553334817801,4.0,24
3900515,1.1894,1.7119217512423408,1.0,21
3900529,4.3191,4.594446089517153,3.0,25
3900538,1.604,1.9801963313895214,3.0,14
3900541,2.6644,1.9233272087525946,3.0,12
3900547,2.1937,1.7403921718320112,4.0,20
3900549,2.1318,1.6853269976273646,2.0,19
3900552,1.7663,1.631108206835804,3.0,17
3900556,1.6915,1.1943835867533625,2.0,10
3900565,1.9997,2.639546928691399,0.0,29
3900574,2.5289,2.5820445759632578,5.0,31
3900581,1.1375,1.5510333269646657,1.0,24
3900593,2.6442,2.333251562322143,4.0,29
3900597,2.7302999999999997,3.5712163939581414,2.0,29
3900598,4.5331,4.440515199981401,4.0,25
3900599,2.7821000000000002,2.272082953959482,2.0,18
3900600,2.7139,2.9530979575365675,2.0,28
3900603,3.2918,2.5769481855016796,3.0,20
3900610,0.7215,0.9927662025432619,1.0,16
3900614,1.0735,1.5888899973540758,1.0,22
3900621,2.0728999999999997,1.9475575045202564,0.0,25
3901156,3.785,3.267407583989717,4.0,23
3901161,2.6583,2.8345119543402926,3.0,31
3901173,2.3651,1.7439547734295975,1.0,22
3901187,4.8139,3.607230584298303,6.0,28
